Index,Noise Type,Metric,Noised,NLM from OpenCV,Our NLM
2,Salt&Pepper,PSNR,46.97785422725861,23.664393182944824,23.544608327017855
2,Gaussian,PSNR,inf,23.664393182944824,23.544608327017855
3,Salt&Pepper,PSNR,46.93453579751009,25.994799020404287,24.881029778166486
3,Gaussian,PSNR,inf,25.994799020404287,24.881029778166486
4,Salt&Pepper,PSNR,47.73697754214325,23.996046598955356,23.602466737161834
4,Gaussian,PSNR,inf,23.996046598955356,23.602466737161834
5,Salt&Pepper,PSNR,47.054695960960224,23.520382640384973,23.78398898780882
5,Gaussian,PSNR,inf,23.520382640384973,23.78398898780882
6,Salt&Pepper,PSNR,46.623299507421514,24.297026420839863,23.746742328133518
6,Gaussian,PSNR,inf,24.297026420839863,23.746742328133518
7,Salt&Pepper,PSNR,46.69344879731989,25.536906145130843,24.14525328599984
7,Gaussian,PSNR,inf,25.536906145130843,24.14525328599984
8,Salt&Pepper,PSNR,46.6258888094753,24.048114534354564,20.569619622711073
8,Gaussian,PSNR,inf,24.048114534354564,20.569619622711073
9,Salt&Pepper,PSNR,46.73199635775423,22.831567247174526,21.28194088664185
9,Gaussian,PSNR,inf,22.831567247174526,21.28194088664185
10,Salt&Pepper,PSNR,46.63107204948423,24.93138195544709,24.41293479754778
10,Gaussian,PSNR,inf,24.93138195544709,24.41293479754778
11,Salt&Pepper,PSNR,43.55214070315998,23.770140077876214,23.507603712309315
11,Gaussian,PSNR,28.002135822083186,23.770140077876214,23.507603712309315
12,Salt&Pepper,PSNR,43.83771134290277,26.059031987571593,24.82937242739993
12,Gaussian,PSNR,28.030814374470623,26.059031987571593,24.82937242739993
13,Salt&Pepper,PSNR,44.875501616757994,24.051314488064413,23.57772411245882
13,Gaussian,PSNR,28.028448433901183,24.051314488064413,23.57772411245882
14,Salt&Pepper,PSNR,44.09356824478546,23.54764648351044,23.77143170236872
14,Gaussian,PSNR,28.02662153567884,23.54764648351044,23.77143170236872
15,Salt&Pepper,PSNR,43.62863497748333,24.392593536850754,23.73155598511441
15,Gaussian,PSNR,28.02165352561964,24.392593536850754,23.73155598511441
16,Salt&Pepper,PSNR,43.52195357741445,25.633785251221106,24.116105657032918
16,Gaussian,PSNR,28.032308836723647,25.633785251221106,24.116105657032918
17,Salt&Pepper,PSNR,43.54040751579845,24.364035220858323,20.563933258911497
17,Gaussian,PSNR,28.012691925699386,24.364035220858323,20.563933258911497
18,Salt&Pepper,PSNR,43.27414851677547,22.983629264159227,21.290540931494082
18,Gaussian,PSNR,28.07001166365193,22.983629264159227,21.290540931494082
19,Salt&Pepper,PSNR,43.8293410004708,24.990503343446218,24.380185255649536
19,Gaussian,PSNR,28.005140812218315,24.990503343446218,24.380185255649536
20,Salt&Pepper,PSNR,39.72610508762211,24.011603291113765,23.433461234858065
20,Gaussian,PSNR,27.55238272495361,24.011603291113765,23.433461234858065
21,Salt&Pepper,PSNR,39.91274586635502,26.241873433169488,24.7025819357833
21,Gaussian,PSNR,27.557138358707185,26.241873433169488,24.7025819357833
22,Salt&Pepper,PSNR,40.67702903551761,24.312859409301847,23.51264136199839
22,Gaussian,PSNR,27.568200030439908,24.312859409301847,23.51264136199839
23,Salt&Pepper,PSNR,40.21636507436255,23.6741921032733,23.709572235843606
23,Gaussian,PSNR,27.56039470267,23.6741921032733,23.709572235843606
24,Salt&Pepper,PSNR,39.46125778910074,24.710116557225245,23.636619290154812
24,Gaussian,PSNR,27.562251076989178,24.710116557225245,23.636619290154812
25,Salt&Pepper,PSNR,39.38314448682132,25.961216720779916,23.993906762454927
25,Gaussian,PSNR,27.517847977526433,25.961216720779916,23.993906762454927
26,Salt&Pepper,PSNR,39.64321812329978,25.281265047680506,20.54918241044374
26,Gaussian,PSNR,27.527685897062952,25.281265047680506,20.54918241044374
27,Salt&Pepper,PSNR,39.34492188955261,23.53778481896047,21.256616157688253
27,Gaussian,PSNR,27.61067257190207,23.53778481896047,21.256616157688253
28,Salt&Pepper,PSNR,39.51592268351165,25.260156916571855,24.25361214031847
28,Gaussian,PSNR,27.58397193922494,25.260156916571855,24.25361214031847
29,Salt&Pepper,PSNR,36.847690606545896,24.573976727385194,23.252453215413077
29,Gaussian,PSNR,27.516124562825684,24.573976727385194,23.252453215413077
30,Salt&Pepper,PSNR,36.84604742651106,26.730474400214742,24.38753933908263
30,Gaussian,PSNR,27.491717102534516,26.730474400214742,24.38753933908263
31,Salt&Pepper,PSNR,37.51938647210538,24.906998919612,23.407824893377253
31,Gaussian,PSNR,27.544744113577487,24.906998919612,23.407824893377253
32,Salt&Pepper,PSNR,37.135319626183254,24.07070007805926,23.60314995057908
32,Gaussian,PSNR,27.54015246812807,24.07070007805926,23.60314995057908
33,Salt&Pepper,PSNR,36.44222266477718,25.353909158551726,23.461250531907325
33,Gaussian,PSNR,27.504434760384026,25.353909158551726,23.461250531907325
34,Salt&Pepper,PSNR,36.22164743848658,26.647556942070665,23.780357244933402
34,Gaussian,PSNR,27.409566310176835,26.647556942070665,23.780357244933402
35,Salt&Pepper,PSNR,36.80858376688242,26.678124295121926,20.496299972487115
35,Gaussian,PSNR,27.42163142832578,26.678124295121926,20.496299972487115
36,Salt&Pepper,PSNR,36.25462308940155,24.480109034316012,21.222924913434014
36,Gaussian,PSNR,27.512639918108807,24.480109034316012,21.222924913434014
37,Salt&Pepper,PSNR,36.773134511952165,25.75493862073411,24.098319563498592
37,Gaussian,PSNR,27.502418982100213,25.75493862073411,24.098319563498592
38,Salt&Pepper,PSNR,34.982381122544,25.39458155817309,23.053127769635733
38,Gaussian,PSNR,27.57509923652778,25.39458155817309,23.053127769635733
39,Salt&Pepper,PSNR,35.08562104560572,27.257987261663082,24.094287755967212
39,Gaussian,PSNR,27.464259245776454,27.257987261663082,24.094287755967212
40,Salt&Pepper,PSNR,35.92532537358223,25.66849206756271,23.280661865376295
40,Gaussian,PSNR,27.717985968456528,25.66849206756271,23.280661865376295
41,Salt&Pepper,PSNR,35.38621555485402,24.75491256576859,23.490111249523714
41,Gaussian,PSNR,27.70751538768129,24.75491256576859,23.490111249523714
42,Salt&Pepper,PSNR,34.75908421591234,26.12595684550471,23.25139356623319
42,Gaussian,PSNR,27.508165454043883,26.12595684550471,23.25139356623319
43,Salt&Pepper,PSNR,34.63534207773192,27.25627643190088,23.574396205043683
43,Gaussian,PSNR,27.353543580591065,27.25627643190088,23.574396205043683
44,Salt&Pepper,PSNR,35.015488333865,28.05862851246588,20.46410722161457
44,Gaussian,PSNR,27.407164234157236,28.05862851246588,20.46410722161457
45,Salt&Pepper,PSNR,34.45014916750605,25.597992190880205,21.15532531915241
45,Gaussian,PSNR,27.392936250468,25.597992190880205,21.15532531915241
46,Salt&Pepper,PSNR,34.935714819674445,26.48146296004871,23.87113480300549
46,Gaussian,PSNR,27.487139041441285,26.48146296004871,23.87113480300549
